id,question,ans1,ans2,ans3,ans4,img,cont
1,This is the leading electricity source in the U.S.,Natural Gas,Petroleum Products,Coal,Nuclear Power,img/ng.png,"Natural gas leads the nation in total capacity, with almost 500 gigawatts from 1,551 plants. "
2,"Found primarily in the South, we may need ""proof"" that this fuel source is consumed appropriately.",Black Liquor,Nuclear Power,Landfill Gas,Sludge Waste,img/blq.png,"
Black liquor is a by-product of paper production. Many mills burn it  as a primary source of their electricity. As a result, the paper pulp industry is one of our country's the more carbon-neutral industries."
3,"This fossil fuel is used all over the Midwest, Hawaii and Alaska",Petroleum Products,Coal,Blast Furnace Gas,Kerosene,img/petroleum.png,"Petroleum has the fourth highest installed capacity, after natural gas, coal and hydroelectricity. Why so low? Though we use more petroleum than natural gas overall, much of this usage is in our cars and trucks."
4,You can find this fuel source in some awfully sunny places.,Geothermal Power,Jet Fuel,Hydroelectric Power,Solar Power,img/geo.png,"Fooled you! While it happens that geothermal power resources are located in some sunny, warm places, all of these locations have geothermal activity near the surface."
5,What's going on in Western Alaska?,Jet Fuel,Wind Power,Sludge Waste,Agricultural By-Products,img/jf.png,"We know: you keep hoping that the answer is sludge waste, but it's not. Jet fuel can be used for electricity generation, mainly in power plants that are only operated during times of peak demand due to how expensive it is to run them."
6,This fuel source is captured as a by-product of another large scale process.,Landfill Gas,Sludge Waste,Black Liquor,Agricultural By-Products,img/lfg.png,"Landfill gas is methane that is captured at landfill sites, refined and burned to create electricity. Capturing methane has grown in popularity in recent years, as it is a far more potent greenhouse gas than carbon dioxide -- its by-product when burned."
7,"Very few of these power plants exist on the West Coast, but they tend to have very high generation capacity per power plant",Nuclear Power,Natural Gas,Coal,Wood Waste Liquids,img/nuc.png,The last nuclear power plant came online in 1996.
8,Which fuel source seems like a it stretches all the way down the Appalachian Mountains?,Coal,Wind Power,Solar Power,Hydroelectric Power,img/coal.png,
9,"Seems like Massachusetts, New Jersey and North Carolina are all in love with this power source, but don't let that fact deceive you.",Solar Power,Wood Waste Liquids,Hydroelectric Power,Wind Power,img/sun.png,"Though it’s growing rapidly on the East Coast as installation costs continue to plummet, utility-scale solar power is still strongest in the Southwest, where sunny days are plentiful and hot."
10,This is the leading renewable energy source in capacity and number of generators.,Hydroelectric Power,Geothermal Power,Agricultural By-Products,Wind Power,img/wat.png,"The oldest continually operated electricity generator in the country is a hydroelectric facility in Stevens Point, Wisconsin. It came online in 1891."
11,"This fuel source has grown by leaps and bounds in the last few years, particularly in Iowa, Texas and Oklahoma.",Wind Power,Petroleum Products,Sludge Waste,Subbituminous Coal,img/wnd.png,"We're blown away by wind power's growth recently, though in the Southern U.S. there isn't much wind, and therefore not much development."
